id	gk-easting	gk-northing	wgs84-east	wgs84-north
10	3572983	5358494	9.98500873	48.36103098
100	3573290	5362865	9.98991339	48.40030235
101	3573087	5368102	9.98808443	48.44742014
102	3566855	5357806	9.90220459	48.35552223
103	3571745	5357513	9.96813549	48.35235093
104	3573874	5363626	9.99793400	48.40707759
12	3573975	5364406	9.99943561	48.41407997
13	3571505	5366475	9.96642251	48.43297076
14	3571884	5366620	9.97156897	48.43423157
15	3571001	5364055	9.95920213	48.41126549
16	3572365	5362381	9.97733812	48.39605671
17	3569871	5367072	9.94444093	48.43852274
18	3574363	5363372	10.00449367	48.40473600
19	3573256	5367926	9.99033806	48.44581782
20	3572227	5357224	9.97458912	48.34969711
21	3572128	5361705	9.97402172	48.39000479
23	3573040	5362464	9.98646749	48.39672530
24	3566701	5357811	9.90012743	48.35558347
25	3569515	5363089	9.93896962	48.40274408
26	3575828	5366409	10.02482843	48.43187179
27	3579660	5361561	10.07568933	48.38780395
28	3565093	5358670	9.87856305	48.36347618
29	3572734	5358305	9.98161597	48.35936008
30	3574161	5365216	10.00209131	48.42134210
31	3572205	5362411	9.97518270	48.39634482
32	3573943	5363634	9.99886736	48.40714145
33	3570516	5362406	9.95237397	48.39649092
34	3575434	5366152	10.01945810	48.42960802
35	3570565	5362496	9.95305077	48.39729479
36	3571723	5355291	9.96746042	48.33237147
37	3572526	5357494	9.97866954	48.35209090
38	3571356	5361404	9.96354701	48.38738576
39	3573848	5363834	9.99761942	48.40895110
40	3572161	5357485	9.97374341	48.35205176
41	3570973	5364089	9.95882967	48.41157439
42	3571501	5361836	9.96557821	48.39125420
44	3574131	5363132	10.00131795	48.40260509
45	3571529	5363599	9.96625651	48.40710515
46	3570482	5364191	9.95221445	48.41254673
47	3573175	5362854	9.98835844	48.40021679
48	3573518	5363360	9.99307912	48.40472716
49	3573150	5363969	9.98821506	48.41024646
51	3572693	5358250	9.98105323	48.35887020
52	3569388	5355161	9.93594701	48.33146297
53	3574579	5363820	10.00749050	48.40873917
54	3566375	5360871	9.89621140	48.38313615
55	3569808	5359759	9.94237365	48.37276578
56	3569998	5364440	9.94571805	48.41483984
57	3569879	5364427	9.94410835	48.41473614
58	3572570	5357478	9.97926043	48.35194196
59	3572498	5357527	9.97829744	48.35239087
6	3573184	5367986	9.98937533	48.44636574
60	3571460	5364541	9.96548492	48.41558407
61	3570053	5361875	9.94603314	48.39176735
62	3571304	5361502	9.96286156	48.38827293
63	3570275	5364512	9.94947202	48.41545650
64	3572100	5357906	9.97299248	48.35584467
65	3569523	5355477	9.93781984	48.33428989
66	3570774	5364001	9.95612677	48.41080540
67	3573667	5363306	9.99508202	48.40422418
68	3573034	5362154	9.98633257	48.39393828
69	3572407	5361375	9.97773193	48.38700526
7	3575659	5366388	10.02254096	48.43170327
70	3576291	5366872	10.03116916	48.43597941
71	3572592	5358230	9.97968690	48.35870196
72	3574888	5363766	10.01165448	48.40821695
8	3572231	5363681	9.97575223	48.40776253
80	3572362	5362458	9.97731088	48.39674949
81	3575054	5363787	10.01390035	48.40838605
82	3573066	5361956	9.98673024	48.39215403
83	3571990	5361445	9.97211390	48.38768245
84	3569930	5362618	9.94449599	48.39846262
85	3575195	5363878	10.01582110	48.40918758
86	3571936	5361129	9.97133074	48.38484692
87	3571935	5365197	9.97201408	48.42142923
88	3569526	5364524	9.93935584	48.41564746
89	3572407	5361375	9.97773193	48.38700526
9	3570361	5361808	9.95018072	48.39113056
90	3571073	5362428	9.95989932	48.39662625
91	3571615	5362099	9.96716231	48.39360635
92	3571268	5364521	9.96288782	48.41542595
94	3568389	5362854	9.92372404	48.40075387
97	3570760	5363824	9.95590783	48.40921527
98	3571592	5366661	9.96762994	48.43463351
